Student_ID,Gender,Faculty,Semester/Year,Attendance (%),Assignment Completion (%),Internal Marks (out of 50),Previous Term Marks (%),Project/Practical Score (%),Study Hours per Week,Parental Education,Parental Support,Internet Access,Extra-curricular,Engagement_Score,Improvement,Final Grade,Final_Grade_Encoded
S1495,Female,Humanities,7,52,80,39,86,73,22,High,No,Yes,Low,66.0,17.5,B,3
S1496,Male,Science,8,99,87,21,46,38,17,High,Yes,No,Medium,93.0,9.5,D,1
S1497,Female,Humanities,1,84,67,0,98,66,39,Low,No,Yes,Low,75.5,-24.5,F,0
S1498,Female,Management,5,72,27,12,27,38,40,Low,Yes,No,Medium,49.5,5.25,F,0
S1499,Male,Humanities,1,50,25,0,37,53,37,Low,Yes,No,High,37.5,-9.25,F,0
S1500,Male,Management,8,51,82,9,48,62,9,High,Yes,Yes,High,66.5,-3.0,D,1
S1501,Male,Humanities,6,38,21,4,65,32,9,High,Yes,No,Medium,29.5,-12.25,F,0
S1502,Female,Humanities,2,63,41,19,55,55,20,High,Yes,No,High,52.0,5.249999999999998,C,2
S1503,Female,Engineering,8,88,40,12,22,44,37,Medium,Yes,No,High,64.0,6.5,F,0
S1504,Male,Management,2,55,25,36,28,75,37,High,Yes,Yes,Medium,40.0,29.0,C,2
S1505,Male,Humanities,2,30,89,9,29,40,6,Medium,Yes,Yes,Medium,59.5,1.7500000000000009,F,0
S1506,Male,Science,4,34,32,2,85,53,11,Low,Yes,No,Low,33.0,-19.25,F,0
S1507,Female,Humanities,5,70,20,33,20,44,40,Medium,No,No,Low,45.0,28.0,D,1
S1508,Female,Humanities,8,92,41,33,23,30,32,High,No,No,Low,66.5,27.25,D,1
S1509,Female,Science,1,51,43,29,67,38,24,Low,No,No,Low,47.0,12.25,C,2
S1510,Female,Management,1,97,83,36,37,68,27,Medium,Yes,No,High,90.0,26.75,C,2
S1511,Male,Engineering,6,77,60,3,97,68,23,Low,No,No,Low,68.5,-21.25,D,1
S1512,Male,Engineering,2,95,41,33,64,53,30,Low,Yes,No,Medium,68.0,17.0,B,3
S1513,Male,Engineering,5,45,80,31,34,21,17,Medium,Yes,Yes,Medium,62.5,22.5,D,1
S1514,Male,Science,5,82,31,20,70,49,22,Low,Yes,Yes,Low,56.5,2.5,C,2
S1515,Female,Humanities,6,94,23,40,80,57,6,Low,Yes,Yes,Medium,58.5,20.0,A,4
S1516,Female,Management,3,93,99,23,23,34,7,High,No,Yes,Low,96.0,17.25,D,1
S1517,Male,Humanities,5,97,31,8,38,94,14,Low,Yes,Yes,Medium,64.0,-1.5,D,1
S1518,Male,Engineering,5,92,52,40,96,79,37,Medium,Yes,Yes,Medium,72.0,16.0,A,4
S1519,Female,Humanities,1,91,40,23,30,23,27,Medium,Yes,Yes,High,65.5,15.5,D,1
S1520,Male,Science,6,100,92,24,47,33,26,High,No,Yes,High,96.0,12.25,C,2
S1521,Female,Science,8,74,91,35,76,100,20,High,Yes,Yes,Low,82.5,16.0,B,3
S1522,Male,Management,5,81,93,7,94,27,26,Medium,Yes,No,High,87.0,-16.5,D,1
S1523,Male,Management,5,94,93,49,73,96,40,Medium,Yes,Yes,High,93.5,30.75,A,4
S1524,Male,Engineering,1,31,91,40,84,30,13,High,Yes,Yes,High,61.0,19.0,C,2
S1525,Male,Management,8,78,71,28,66,99,20,Medium,No,No,Low,74.5,11.5,B,3
S1526,Male,Humanities,8,51,66,24,23,69,13,Low,No,No,Low,58.5,18.25,F,0
S1527,Male,Science,5,58,78,34,53,95,5,High,No,No,Medium,68.0,20.75,C,2
S1528,Male,Science,1,64,66,37,95,57,11,High,No,Yes,High,65.0,13.25,A,4
S1529,Female,Science,3,53,75,27,73,43,27,High,No,Yes,Medium,64.0,8.75,D,1
S1530,Female,Management,4,59,32,18,80,57,28,High,Yes,No,Medium,45.5,-2.0,D,1
S1531,Female,Science,7,71,63,31,39,81,36,Low,Yes,Yes,Medium,67.0,21.25,C,2
S1532,Female,Science,1,100,54,36,22,75,37,High,Yes,Yes,Low,77.0,30.5,B,3
S1533,Female,Science,1,79,48,48,59,84,2,High,No,Yes,Low,63.5,33.25,A,4
S1534,Male,Engineering,5,100,75,50,88,36,32,Medium,No,No,High,87.5,28.0,A,4
S1535,Male,Engineering,1,89,24,27,42,36,11,High,Yes,Yes,Medium,56.5,16.5,C,2
S1536,Female,Management,6,59,86,34,88,46,11,Medium,No,Yes,Medium,72.5,12.0,C,2
S1537,Male,Science,2,41,72,7,51,44,10,Medium,Yes,No,Low,56.5,-5.75,F,0
S1538,Female,Management,2,78,79,40,43,95,27,Medium,Yes,No,High,78.5,29.25,C,2
S1539,Female,Science,3,75,25,22,70,68,34,Low,No,Yes,Medium,50.0,4.5,C,2
S1540,Male,Science,8,72,67,39,77,77,33,High,Yes,Yes,High,69.5,19.75,B,3
S1541,Male,Science,1,31,99,45,61,20,21,High,Yes,Yes,High,65.0,29.75,D,1
S1542,Male,Management,8,83,54,22,54,32,38,Medium,No,Yes,Medium,68.5,8.5,C,2
S1543,Female,Management,6,64,37,31,51,72,22,High,Yes,No,Low,50.5,18.25,C,2
S1544,Male,Science,5,81,30,9,73,40,11,Medium,Yes,Yes,Low,55.5,-9.25,D,1
S1545,Female,Humanities,5,62,70,16,64,20,18,High,Yes,Yes,Low,66.0,0.0,D,1
S1546,Female,Management,7,80,42,34,67,96,30,Medium,No,No,High,61.0,17.25,B,3
S1547,Female,Engineering,4,55,66,34,68,50,12,Medium,No,Yes,Low,60.5,17.0,C,2
S1548,Male,Management,3,91,94,2,53,80,18,Medium,No,Yes,Low,92.5,-11.25,D,1
S1549,Male,Science,6,90,78,35,35,22,35,Low,Yes,Yes,Medium,84.0,26.25,C,2
S1550,Female,Humanities,8,55,76,28,30,94,21,Medium,No,Yes,High,65.5,20.5,D,1
S1551,Male,Science,6,66,75,48,38,48,29,Low,Yes,No,High,70.5,38.5,C,2
S1552,Male,Engineering,7,59,46,45,48,67,3,Low,No,Yes,High,52.5,33.0,C,2
S1553,Male,Management,7,40,92,26,73,81,12,Medium,Yes,No,High,66.0,7.75,C,2
S1554,Female,Management,5,82,54,30,72,44,19,Low,No,No,High,68.0,12.0,C,2
S1555,Female,Science,8,70,74,33,86,53,38,High,No,Yes,Low,72.0,11.5,B,3
S1556,Male,Science,4,34,28,11,95,37,5,Low,Yes,Yes,Medium,31.0,-12.75,D,1
S1557,Female,Engineering,5,95,37,36,51,84,11,Low,No,No,High,66.0,23.25,B,3
S1558,Male,Humanities,4,42,63,24,75,47,15,Low,No,Yes,Low,52.5,5.25,C,2
S1559,Male,Engineering,2,92,40,1,82,23,16,Low,No,Yes,Low,66.0,-19.5,F,0
S1560,Male,Humanities,6,54,75,29,23,40,7,Medium,No,No,Medium,64.5,23.25,D,1
S1561,Male,Management,7,73,67,43,30,89,32,High,Yes,Yes,Low,70.0,35.5,C,2
S1562,Female,Humanities,2,43,20,8,22,40,38,High,Yes,No,High,31.5,2.5,F,0
S1563,Female,Humanities,8,98,46,22,46,39,11,Low,Yes,No,Low,72.0,10.5,D,1
S1564,Female,Management,5,88,64,8,99,60,25,High,Yes,No,High,76.0,-16.75,D,1
S1565,Male,Management,3,85,82,19,63,72,18,Medium,Yes,No,Medium,83.5,3.25,C,2
S1566,Male,Management,1,81,77,0,37,81,12,Low,Yes,Yes,Medium,79.0,-9.25,F,0
S1567,Male,Engineering,3,95,59,38,49,50,9,Low,No,No,Medium,77.0,25.75,C,2
S1568,Female,Management,3,97,82,22,89,44,33,Low,No,No,Low,89.5,-0.25,B,3
S1569,Male,Science,1,41,57,17,66,88,30,High,Yes,Yes,Low,49.0,0.5,D,1
S1570,Female,Management,6,97,48,41,53,91,26,Low,No,Yes,Low,72.5,27.75,B,3
S1571,Female,Management,2,72,59,31,95,36,2,Low,No,No,Low,65.5,7.25,C,2
S1572,Female,Management,2,35,38,46,61,98,4,High,No,No,Medium,36.5,30.75,C,2
S1573,Female,Humanities,6,44,75,8,42,39,4,Medium,Yes,No,Medium,59.5,-2.5,F,0
S1574,Female,Engineering,1,71,63,10,59,64,36,High,Yes,No,Medium,67.0,-4.75,D,1
S1575,Female,Management,4,60,84,0,34,69,6,Medium,No,Yes,High,72.0,-8.5,F,0
S1576,Male,Engineering,3,82,32,10,99,70,39,Medium,Yes,No,High,57.0,-14.75,C,2
S1577,Male,Science,5,35,49,32,76,91,12,Medium,No,No,High,42.0,13.0,C,2
S1578,Female,Science,2,62,68,29,33,97,33,Low,No,Yes,Low,65.0,20.75,D,1
S1579,Female,Management,6,58,94,4,98,52,35,Medium,Yes,No,High,76.0,-20.5,D,1
S1580,Male,Science,5,50,82,49,31,48,33,Low,No,Yes,Medium,66.0,41.25,C,2
S1581,Female,Engineering,7,83,90,0,54,41,2,High,Yes,Yes,Low,86.5,-13.5,F,0
S1582,Female,Humanities,1,85,54,9,44,86,9,Medium,Yes,No,Low,69.5,-2.0,D,1
S1583,Male,Management,5,50,30,12,97,22,34,Low,No,No,High,40.0,-12.25,D,1
S1584,Female,Science,8,84,68,26,21,25,36,Low,No,Yes,Low,76.0,20.75,D,1
S1585,Female,Engineering,5,87,59,7,37,59,5,Medium,Yes,No,Low,73.0,-2.25,F,0
S1586,Female,Engineering,8,93,40,27,54,95,20,Medium,Yes,No,High,66.5,13.5,C,2
S1587,Male,Science,3,75,66,44,28,88,4,Medium,No,Yes,Medium,70.5,37.0,C,2
S1588,Male,Engineering,1,51,22,1,30,24,2,Low,Yes,Yes,Medium,36.5,-6.5,F,0
S1589,Male,Engineering,5,89,49,11,86,22,19,Low,No,No,Medium,69.0,-10.5,D,1
S1590,Female,Management,2,40,86,26,88,23,29,Medium,No,Yes,High,63.0,4.0,D,1
S1591,Female,Engineering,1,76,81,12,93,82,11,High,Yes,No,Low,78.5,-11.25,C,2
S1592,Male,Science,2,60,56,21,57,24,34,Low,No,Yes,High,58.0,6.750000000000002,D,1
S1593,Female,Management,6,47,41,39,89,80,31,Low,Yes,Yes,Low,44.0,16.75,A,4
S1594,Female,Science,6,51,50,14,94,76,18,High,No,No,Medium,50.5,-9.5,C,2
S1595,Female,Humanities,7,85,65,30,100,61,14,High,No,No,Medium,75.0,5.0,B,3
S1596,Female,Science,4,46,95,6,78,75,9,High,No,Yes,High,70.5,-13.5,D,1
S1597,Female,Science,6,67,64,38,85,91,25,Low,No,Yes,Medium,65.5,16.75,B,3
S1598,Male,Management,5,54,33,48,60,47,5,High,No,No,High,43.5,33.0,B,3
S1599,Female,Engineering,1,61,31,50,43,74,25,High,Yes,Yes,Medium,46.0,39.25,A,4
S1600,Male,Science,6,44,82,34,69,57,1,Low,No,No,Medium,63.0,16.75,C,2
S1601,Female,Management,2,42,96,6,24,42,31,Low,No,No,Medium,69.0,0.0,F,0
S1602,Male,Humanities,5,87,57,11,40,26,2,Low,Yes,No,High,72.0,1.0,F,0
S1603,Female,Management,6,79,66,13,25,57,18,High,Yes,Yes,Medium,72.5,6.75,F,0
S1604,Male,Management,8,40,73,33,23,96,35,Medium,No,No,High,56.5,27.25,D,1
S1605,Female,Engineering,8,42,74,38,28,76,19,Medium,Yes,No,High,58.0,31.0,C,2
S1606,Male,Science,3,79,67,47,88,56,29,Low,No,No,Low,73.0,25.0,A,4
S1607,Female,Humanities,2,67,92,8,87,25,36,High,Yes,No,Medium,79.5,-13.75,D,1
S1608,Male,Management,7,30,91,32,28,29,19,High,Yes,Yes,Low,60.5,25.0,D,1
S1609,Female,Science,7,68,34,11,37,46,33,High,No,Yes,Low,51.0,1.75,D,1
S1610,Male,Science,7,56,90,33,78,76,16,Low,Yes,Yes,High,73.0,13.5,B,3
S1611,Male,Management,2,65,35,26,62,35,22,Medium,Yes,Yes,Medium,50.0,10.5,C,2
S1612,Female,Science,7,61,62,21,99,78,40,High,No,Yes,Low,61.5,-3.75,B,3
S1613,Female,Management,4,70,26,17,85,47,8,Medium,Yes,Yes,Medium,48.0,-4.25,C,2
S1614,Male,Management,3,44,62,45,48,22,26,Medium,Yes,Yes,Medium,53.0,33.0,C,2
S1615,Female,Management,4,60,47,43,67,76,16,High,Yes,No,High,53.5,26.25,B,3
S1616,Male,Humanities,8,35,85,17,70,84,40,Low,Yes,Yes,High,60.0,-0.5,D,1
S1617,Male,Management,6,81,79,36,61,86,16,Medium,No,Yes,Low,80.0,20.75,C,2
S1618,Male,Engineering,3,51,22,6,55,49,1,Medium,Yes,Yes,Low,36.5,-7.750000000000002,F,0
S1619,Female,Science,2,60,20,3,95,38,14,Medium,No,No,High,40.0,-20.75,D,1
S1620,Male,Humanities,4,75,50,44,64,27,10,Medium,Yes,Yes,Low,62.5,28.0,C,2
S1621,Male,Science,5,96,75,15,54,81,36,Medium,Yes,Yes,Low,85.5,1.5,D,1
S1622,Female,Humanities,3,72,99,21,25,38,40,High,No,Yes,Medium,85.5,14.75,D,1
S1623,Female,Engineering,2,30,65,47,56,55,8,Low,No,Yes,Low,47.5,33.0,C,2
S1624,Female,Humanities,1,73,51,50,55,88,13,Medium,Yes,No,Low,62.0,36.25,A,4
S1625,Female,Humanities,3,86,100,35,35,79,7,Low,No,Yes,Low,93.0,26.25,C,2
S1626,Male,Humanities,3,38,37,19,91,53,11,Low,Yes,Yes,High,37.5,-3.75,C,2
S1627,Male,Science,6,34,87,30,41,74,6,High,No,No,Medium,60.5,19.75,D,1
S1628,Male,Management,5,38,54,32,88,46,2,Low,No,Yes,Low,46.0,10.0,C,2
S1629,Male,Science,6,74,42,12,88,58,25,Low,Yes,Yes,High,58.0,-10.0,D,1
S1630,Female,Management,7,53,98,19,82,61,2,Low,Yes,Yes,Medium,75.5,-1.5,C,2
S1631,Male,Science,3,71,32,40,94,61,3,Low,No,Yes,High,51.5,16.5,B,3
S1632,Male,Engineering,8,51,97,41,38,67,31,Medium,Yes,No,High,74.0,31.5,C,2
S1633,Female,Engineering,3,89,33,37,100,50,13,High,No,Yes,Medium,61.0,12.0,A,4
S1634,Male,Humanities,7,66,56,21,37,41,2,High,Yes,Yes,Medium,61.0,11.75,F,0
S1635,Male,Engineering,5,68,24,38,92,60,12,High,No,No,High,46.0,15.0,A,4
S1636,Male,Humanities,5,82,41,22,36,43,7,Low,No,Yes,High,61.5,13.0,D,1
S1637,Male,Management,8,57,47,47,60,59,37,Low,No,No,Low,52.0,32.0,C,2
S1638,Male,Engineering,8,44,23,48,52,51,1,Medium,No,Yes,High,33.5,35.0,C,2
S1639,Male,Management,4,89,69,32,74,70,37,Low,No,Yes,Medium,79.0,13.5,B,3
S1640,Female,Science,2,89,48,40,43,52,30,Low,No,No,Medium,68.5,29.25,B,3
S1641,Female,Management,2,35,56,29,96,47,38,High,No,No,Medium,45.5,5.0,C,2
S1642,Male,Science,4,81,54,13,59,100,26,Low,No,No,Medium,67.5,-1.75,D,1
S1643,Male,Management,2,41,39,46,47,98,16,High,Yes,Yes,High,40.0,34.25,C,2
S1644,Female,Management,3,48,54,35,86,82,34,High,No,Yes,High,51.0,13.5,C,2
S1645,Male,Engineering,4,31,21,7,94,41,23,High,Yes,Yes,Medium,26.0,-16.5,D,1
S1646,Male,Management,4,84,77,46,58,37,0,Low,Yes,No,Medium,80.5,31.5,C,2
S1647,Male,Engineering,2,44,37,21,40,21,28,Low,Yes,Yes,Medium,40.5,11.0,D,1
S1648,Female,Engineering,1,93,75,3,56,45,25,Medium,Yes,No,Low,84.0,-11.000000000000002,D,1
S1649,Male,Humanities,8,98,83,50,21,58,34,High,No,No,High,90.5,44.75,B,3
S1650,Female,Humanities,2,44,71,34,25,36,23,Medium,No,No,Medium,57.5,27.75,D,1
S1651,Male,Science,6,72,41,7,71,35,32,Low,Yes,No,High,56.5,-10.75,D,1
S1652,Female,Management,1,46,79,33,24,46,25,Low,Yes,No,Low,62.5,27.0,D,1
S1653,Female,Science,4,53,29,21,66,68,36,Low,No,Yes,High,41.0,4.5,D,1
S1654,Male,Management,1,59,99,24,62,22,38,Medium,Yes,No,Low,79.0,8.5,C,2
S1655,Female,Humanities,3,96,25,24,59,61,25,Low,No,Yes,High,60.5,9.25,D,1
S1656,Male,Humanities,5,80,100,39,30,82,37,Low,No,Yes,Low,90.0,31.5,C,2
S1657,Female,Management,1,89,25,39,100,48,37,Low,Yes,No,High,57.0,14.0,A,4
S1658,Male,Management,6,32,47,16,33,21,10,Medium,Yes,Yes,Low,39.5,7.75,F,0
S1659,Male,Humanities,5,34,61,15,21,33,28,Medium,No,Yes,Medium,47.5,9.75,F,0
S1660,Female,Humanities,3,57,93,47,58,31,28,Low,No,No,Medium,75.0,32.5,C,2
S1661,Male,Science,6,40,60,47,82,43,2,High,No,Yes,High,50.0,26.5,C,2
S1662,Male,Humanities,7,44,82,38,82,47,8,Medium,No,Yes,Low,63.0,17.5,C,2
S1663,Female,Management,5,77,41,14,37,37,34,Medium,No,Yes,Medium,59.0,4.75,D,1
S1664,Male,Science,7,75,98,16,98,25,5,High,No,No,High,86.5,-8.5,C,2
S1665,Male,Management,3,57,48,34,20,49,8,Medium,Yes,No,Low,52.5,29.0,D,1
S1666,Female,Engineering,5,36,90,32,36,53,7,High,No,No,Low,63.0,23.0,F,0
S1667,Female,Science,5,100,53,39,73,77,26,High,No,No,Low,76.5,20.75,B,3
S1668,Male,Management,2,35,21,38,58,47,33,High,No,Yes,Low,28.0,23.5,F,0
S1669,Male,Humanities,6,87,45,17,67,91,23,High,Yes,No,High,66.0,0.25,C,2
S1670,Female,Engineering,8,97,94,29,85,94,4,High,No,No,Low,95.5,7.75,B,3
S1671,Female,Management,6,84,38,22,34,72,9,Medium,Yes,No,Low,61.0,13.5,C,2
S1672,Male,Science,1,96,39,36,41,35,19,Low,No,Yes,Medium,67.5,25.75,C,2
S1673,Female,Management,7,78,52,46,39,45,21,High,Yes,No,Low,65.0,36.25,C,2
S1674,Male,Engineering,7,80,100,6,62,84,11,Medium,Yes,No,Low,90.0,-9.5,D,1
S1675,Male,Science,6,88,23,9,75,76,28,Low,Yes,Yes,Low,55.5,-9.75,C,2
S1676,Male,Engineering,6,35,51,15,43,50,30,Low,No,Yes,Low,43.0,4.25,F,0
S1677,Male,Management,5,80,38,27,62,46,5,Medium,No,No,High,59.0,11.5,D,1
S1678,Male,Humanities,7,67,22,22,40,68,6,Low,Yes,No,High,44.5,12.0,D,1
S1679,Female,Humanities,4,40,80,33,67,28,32,Low,Yes,Yes,High,60.0,16.25,D,1
S1680,Female,Management,8,81,57,17,85,45,14,High,Yes,Yes,Medium,69.0,-4.25,C,2
S1681,Female,Management,2,49,25,46,35,25,12,High,No,No,Low,37.0,37.25,C,2
S1682,Female,Management,8,39,75,22,59,26,23,Medium,Yes,Yes,High,57.0,7.25,D,1
S1683,Male,Science,1,55,59,50,40,32,29,High,Yes,No,High,57.0,40.0,C,2
S1684,Male,Engineering,8,77,100,19,71,68,32,Low,No,Yes,Medium,88.5,1.25,C,2
S1685,Male,Engineering,2,43,88,30,27,29,19,Low,No,Yes,Medium,65.5,23.25,D,1
S1686,Male,Engineering,1,88,61,13,97,62,18,High,No,Yes,Low,74.5,-11.25,C,2
S1687,Female,Management,3,41,93,22,74,68,18,Medium,No,Yes,Low,67.0,3.5,D,1
S1688,Male,Engineering,5,52,21,1,77,37,37,Medium,No,Yes,Low,36.5,-18.25,F,0
S1689,Male,Management,6,68,47,28,24,30,23,High,Yes,Yes,High,57.5,22.0,D,1
S1690,Female,Science,6,38,36,49,61,29,4,Medium,Yes,Yes,Medium,37.0,33.75,C,2
S1691,Female,Humanities,4,54,89,8,49,47,21,Medium,Yes,No,High,71.5,-4.25,F,0
S1692,Female,Management,8,46,88,32,28,72,21,Low,Yes,No,Low,67.0,25.0,D,1
S1693,Female,Management,7,71,58,47,60,73,27,High,Yes,No,High,64.5,32.0,B,3
S1694,Male,Humanities,7,58,26,43,70,44,16,High,No,No,Medium,42.0,25.5,C,2
S1695,Male,Humanities,2,89,51,11,76,25,30,Low,No,Yes,High,70.0,-8.0,D,1
S1696,Female,Science,2,96,23,18,92,30,6,Low,Yes,Yes,Low,59.5,-5.0,C,2
S1697,Male,Engineering,2,86,40,41,80,52,16,High,Yes,No,Low,63.0,21.0,B,3
S1698,Male,Management,7,43,51,19,25,88,11,High,No,Yes,Low,47.0,12.75,D,1
S1699,Male,Engineering,6,68,33,36,45,65,6,Low,Yes,Yes,Low,50.5,24.75,C,2
S1700,Female,Management,7,45,89,30,93,96,28,Medium,Yes,Yes,Medium,67.0,6.75,B,3
S1701,Male,Science,2,47,94,34,25,74,7,Low,Yes,Yes,Medium,70.5,27.75,C,2
S1702,Female,Humanities,5,49,65,40,72,89,3,Medium,No,No,Low,57.0,22.0,B,3
S1703,Male,Science,1,75,39,20,80,70,39,High,No,No,Medium,57.0,0.0,C,2
S1704,Male,Humanities,6,74,77,46,52,44,15,High,Yes,Yes,Low,75.5,33.0,B,3
S1705,Male,Engineering,5,33,99,45,64,42,15,High,No,Yes,High,66.0,29.0,C,2
S1706,Female,Engineering,3,49,67,42,59,69,21,High,No,No,High,58.0,27.25,B,3
S1707,Male,Science,8,40,26,12,43,65,10,High,Yes,Yes,High,33.0,1.25,F,0
S1708,Female,Humanities,5,94,59,38,64,96,40,Low,No,No,Medium,76.5,22.0,A,4
S1709,Female,Science,8,47,78,26,57,63,10,High,Yes,Yes,Low,62.5,11.750000000000002,C,2
S1710,Female,Humanities,5,68,55,24,48,32,4,High,Yes,Yes,High,61.5,12.0,D,1
S1711,Male,Humanities,3,73,63,1,98,90,37,High,No,Yes,Medium,68.0,-23.5,C,2
S1712,Male,Engineering,5,47,50,34,27,67,11,High,Yes,Yes,Medium,48.5,27.25,D,1
S1713,Male,Engineering,1,76,61,7,83,36,39,Medium,Yes,No,Medium,68.5,-13.75,D,1
S1714,Male,Humanities,6,60,63,32,92,92,24,High,Yes,Yes,Medium,61.5,9.0,B,3
S1715,Female,Humanities,8,68,62,24,70,33,12,Medium,No,No,Low,65.0,6.5,D,1
S1716,Female,Humanities,4,67,62,20,94,49,25,Medium,No,Yes,Medium,64.5,-3.5,C,2
S1717,Female,Engineering,7,76,66,35,25,49,10,High,No,No,Medium,71.0,28.75,C,2
S1718,Male,Engineering,3,99,25,12,66,52,39,Medium,No,Yes,Low,62.0,-4.5,D,1
S1719,Female,Management,8,37,85,45,68,73,22,High,Yes,No,Low,61.0,28.0,B,3
S1720,Male,Humanities,6,94,28,8,95,76,12,Medium,No,No,High,61.0,-15.75,C,2
S1721,Female,Management,2,42,30,34,51,50,32,Low,Yes,Yes,Low,36.0,21.25,C,2
S1722,Male,Humanities,8,84,99,45,73,42,27,High,Yes,Yes,Medium,91.5,26.75,A,4
S1723,Male,Engineering,1,72,96,35,55,71,3,High,Yes,Yes,High,84.0,21.25,C,2
S1724,Female,Management,4,33,37,48,38,73,27,Medium,Yes,No,Low,35.0,38.5,C,2
S1725,Female,Management,1,100,44,46,56,66,33,Low,No,No,Low,72.0,32.0,B,3
S1726,Female,Science,8,89,93,43,36,68,9,High,No,No,High,91.0,34.0,B,3
S1727,Female,Humanities,1,41,77,45,99,75,7,Medium,Yes,Yes,Low,59.0,20.25,A,4
S1728,Male,Engineering,2,88,49,50,35,27,8,Medium,No,No,High,68.5,41.25,B,3
S1729,Female,Science,4,83,20,9,77,41,17,High,No,Yes,Medium,51.5,-10.25,C,2
S1730,Female,Science,7,73,82,4,63,81,1,Medium,Yes,No,Low,77.5,-11.75,D,1
S1731,Female,Humanities,1,45,98,30,87,73,17,High,No,No,Medium,71.5,8.25,C,2
S1732,Male,Science,2,35,48,23,68,54,39,Low,No,Yes,High,41.5,6.0,C,2
S1733,Male,Humanities,3,43,85,31,70,34,1,Low,Yes,No,Low,64.0,13.5,C,2
S1734,Female,Science,2,87,94,48,24,24,21,Low,No,Yes,Low,90.5,42.0,C,2
S1735,Male,Humanities,5,60,72,48,77,36,15,Low,No,Yes,Medium,66.0,28.75,B,3
S1736,Female,Engineering,8,70,38,2,65,22,36,Medium,No,No,High,54.0,-14.25,D,1
S1737,Male,Humanities,6,64,85,15,74,38,31,Medium,Yes,No,Low,74.5,-3.5,C,2
S1738,Male,Humanities,8,39,71,40,92,100,9,Medium,Yes,No,Medium,55.0,17.0,B,3
S1739,Male,Management,8,59,50,48,36,56,40,High,No,No,Medium,54.5,39.0,C,2
S1740,Male,Engineering,2,73,79,19,31,40,33,Low,No,Yes,Low,76.0,11.25,D,1
S1741,Female,Engineering,2,84,87,43,43,70,15,High,Yes,Yes,Low,85.5,32.25,C,2
S1742,Female,Engineering,2,100,49,23,75,73,33,Low,No,No,High,74.5,4.25,C,2
S1743,Female,Science,8,47,32,33,74,30,36,High,Yes,No,Low,39.5,14.5,C,2
S1744,Male,Management,7,68,34,47,95,84,39,Medium,Yes,No,High,51.0,23.25,A,4
S1745,Female,Engineering,1,71,39,22,98,49,33,Medium,No,No,High,55.0,-2.5,B,3
S1746,Female,Science,7,83,53,37,35,62,12,Medium,No,Yes,High,68.0,28.25,C,2
S1747,Female,Science,4,59,39,1,41,55,36,High,Yes,Yes,High,49.0,-9.25,F,0
S1748,Male,Science,2,49,69,40,63,76,11,Medium,No,No,Low,59.0,24.25,B,3
S1749,Male,Management,2,71,46,4,62,45,14,Medium,No,No,Low,58.5,-11.5,D,1
S1750,Male,Science,5,34,49,17,98,79,29,Low,Yes,Yes,High,41.5,-7.5,D,1
S1751,Female,Management,5,79,75,49,40,41,30,High,Yes,No,High,77.0,39.0,B,3
S1752,Female,Humanities,3,70,84,28,27,43,28,High,Yes,Yes,Low,77.0,21.25,D,1
S1753,Female,Science,3,68,74,9,68,31,33,Medium,No,Yes,High,71.0,-8.0,D,1
S1754,Male,Engineering,5,86,43,41,25,94,31,High,Yes,Yes,Low,64.5,34.75,B,3
S1755,Male,Science,4,86,44,41,100,79,22,Medium,No,No,Low,65.0,16.0,A,4
S1756,Female,Humanities,3,66,72,49,66,40,9,High,No,Yes,Low,69.0,32.5,B,3
S1757,Male,Humanities,6,36,95,15,55,99,7,Low,No,No,Medium,65.5,1.2499999999999982,D,1
S1758,Male,Science,6,34,30,22,42,55,20,High,No,No,Low,32.0,11.5,D,1
S1759,Male,Humanities,4,80,79,29,50,26,10,Medium,No,No,High,79.5,16.5,C,2
S1760,Male,Management,5,37,96,5,94,80,11,High,No,Yes,Medium,66.5,-18.5,D,1
S1761,Female,Management,3,85,66,43,81,72,38,High,Yes,No,High,75.5,22.75,A,4
S1762,Male,Science,2,40,44,35,100,47,18,Low,No,Yes,Low,42.0,10.0,C,2
S1763,Male,Management,5,51,44,19,76,43,33,High,Yes,No,Medium,47.5,0.0,C,2
S1764,Male,Management,3,40,36,15,89,72,37,Low,No,Yes,Medium,38.0,-7.25,C,2
S1765,Male,Engineering,4,89,31,27,84,32,33,Low,Yes,No,High,60.0,6.0,C,2
S1766,Female,Science,6,44,71,25,56,97,25,Low,No,No,High,57.5,10.999999999999998,D,1
S1767,Female,Humanities,8,67,30,21,87,91,39,Medium,No,Yes,Low,48.5,-0.75,C,2
S1768,Male,Science,4,30,29,10,94,20,15,Low,No,No,Medium,29.5,-13.5,D,1
S1769,Male,Management,8,75,100,0,36,100,18,High,No,No,Low,87.5,-9.0,F,0
S1770,Male,Engineering,3,72,79,4,26,60,28,High,No,Yes,Medium,75.5,-2.5,F,0
S1771,Male,Science,4,51,73,48,71,78,37,Low,Yes,No,Medium,62.0,30.25,B,3
S1772,Male,Science,3,32,99,42,54,32,35,Low,No,No,High,65.5,28.5,C,2
S1773,Male,Management,3,43,82,45,21,73,20,Low,No,No,High,62.5,39.75,C,2
S1774,Female,Management,8,31,39,40,59,66,9,Medium,Yes,No,Medium,35.0,25.25,C,2
S1775,Male,Science,4,90,24,41,56,46,22,Low,Yes,No,Medium,57.0,27.0,B,3
